Time,Input,MACD,Signal,Histogram
2018-08-01T17:00:00,1218.822,,,
2018-08-01T17:30:00,1219.626,,,
2018-08-01T18:00:00,1220.272,,,
2018-08-01T18:30:00,1217.991,,,
2018-08-01T19:00:00,1217.370,,,
2018-08-01T19:30:00,1216.224,,,
2018-08-01T20:00:00,1216.542,,,
2018-08-01T20:30:00,1216.122,,,
2018-08-01T22:00:00,1217.323,,,
2018-08-01T22:30:00,1217.058,,,
2018-08-01T23:00:00,1217.624,,,
2018-08-01T23:30:00,1217.929,,,
2018-08-02T00:00:00,1217.380,,,
2018-08-02T00:30:00,1218.512,,,
2018-08-02T01:00:00,1219.927,,,
2018-08-02T01:30:00,1220.230,,,
2018-08-02T02:00:00,1220.191,,,
2018-08-02T02:30:00,1219.024,,,
2018-08-02T03:00:00,1219.388,,,
2018-08-02T03:30:00,1219.649,,,
2018-08-02T04:00:00,1219.092,,,
2018-08-02T04:30:00,1218.613,,,
2018-08-02T05:00:00,1218.796,,,
2018-08-02T05:30:00,1219.752,,,
2018-08-02T06:00:00,1219.562,,,
2018-08-02T06:30:00,1218.367,0.1913337872140346,0.1913337872140346,0
2018-08-02T07:00:00,1218.335,0.12743167720304882,0.17855336521183746,-0.051121688008788635
2018-08-02T07:30:00,1217.537,0.015905036838375963,0.14602369953714517,-0.1301186626987692
2018-08-02T08:00:00,1217.756,-0.055536715812877446,0.10571161646714064,-0.1612483322800181
2018-08-02T08:30:00,1217.928,-0.09818300578194794,0.06493269201732292,-0.16311569779927088
2018-08-02T09:00:00,1217.574,-0.1571590924550037,0.020514335122857594,-0.1776734275778613
2018-08-02T09:30:00,1215.972,-0.3219110008114967,-0.04797073206401327,-0.27394026874748345
2018-08-02T10:00:00,1216.522,-0.40657568999790783,-0.11969172365079218,-0.28688396634711566
2018-08-02T10:30:00,1216.424,-0.47591932535806336,-0.19093724399224643,-0.28498208136581693
2018-08-02T11:00:00,1216.148,-0.5457866662497963,-0.2619071284437564,-0.2838795378060399
2018-08-02T11:30:00,1214.480,-0.7196797630306264,-0.3534616553611304,-0.36621810766949603
2018-08-02T12:00:00,1215.346,-0.7833568130404274,-0.4394406868969898,-0.3439161261434376
2018-08-02T12:30:00,1217.903,-0.632835129463956,-0.478119575410383,-0.154715554053573
2018-08-02T13:00:00,1216.428,-0.6179930605453592,-0.5060942724373783,-0.11189878810798093
2018-08-02T13:30:00,1215.252,-0.6875710619272013,-0.5423896303353428,-0.14518143159185848
2018-08-02T14:00:00,1214.608,-0.782841591066699,-0.590480022481614,-0.19236156858508502
2018-08-02T14:30:00,1214.500,-0.8570410767033536,-0.6437922333259619,-0.2132488433773917
2018-08-02T15:00:00,1214.228,-0.9261387101723813,-0.7002615286952458,-0.22587718147713542
2018-08-02T15:30:00,1213.962,-0.9899976639978831,-0.7582087557557733,-0.23178890824210985
2018-08-02T16:00:00,1214.814,-0.965169292722976,-0.7996008631492139,-0.16556842957376217
2018-08-02T16:30:00,1213.560,-1.0288398312650315,-0.8454486567723773,-0.18339117449265419
2018-08-02T17:00:00,1211.784,-1.200526344092168,-0.9164641942363355,-0.28406214985583256
2018-08-02T17:30:00,1211.916,-1.31210894343144,-0.9955931440753564,-0.31651579935608354
2018-08-02T18:00:00,1210.750,-1.4725295365483362,-1.0909804225699524,-0.38154911397838376
2018-08-02T18:30:00,1209.334,-1.6882942706004087,-1.2104431921760437,-0.47785107842436503
2018-08-02T19:00:00,1209.500,-1.8264959822042783,-1.3336537501816905,-0.4928422320225878
2018-08-02T19:30:00,1209.265,-1.9322339981531513,-1.4533697997759827,-0.47886419837716865
2018-08-02T20:00:00,1208.310,-2.0652578807139435,-1.575747415963575,-0.4895104647503685
2018-08-02T20:30:00,1208.138,-2.159513757218974,-1.6925006842146548,-0.4670130730043194
2018-08-02T22:00:00,1209.365,-2.117302910352464,-1.7774611294422167,-0.3398417809102474
2018-08-02T22:30:00,1209.312,-2.064269974262288,-1.834822898406231,-0.22944707585605717
