Time,Input,MACD,Signal,Histogram
2018-08-02T19:00:00,1043.800,,,
2018-08-02T19:15:00,1043.293,,,
2018-08-02T19:30:00,1042.907,,,
2018-08-02T19:45:00,1043.477,,,
2018-08-02T20:00:00,1043.290,,,
2018-08-02T20:15:00,1042.792,,,
2018-08-02T20:30:00,1042.512,,,
2018-08-02T20:45:00,1042.846,,,
2018-08-02T22:00:00,1043.635,,,
2018-08-02T22:15:00,1044.042,,,
2018-08-02T22:30:00,1044.078,,,
2018-08-02T22:45:00,1043.766,,,
2018-08-02T23:00:00,1043.692,,,
2018-08-02T23:15:00,1043.401,,,
2018-08-02T23:30:00,1043.300,,,
2018-08-02T23:45:00,1043.089,,,
2018-08-03T00:00:00,1043.253,,,
2018-08-03T00:15:00,1043.396,,,
2018-08-03T00:30:00,1043.458,,,
2018-08-03T00:45:00,1043.688,,,
2018-08-03T01:00:00,1044.094,,,
2018-08-03T01:15:00,1043.987,,,
2018-08-03T01:30:00,1042.146,,,
2018-08-03T01:45:00,1042.360,,,
2018-08-03T02:00:00,1041.856,,,
2018-08-03T02:15:00,1042.600,-0.2523917261751194,-0.2523917261751194,0
2018-08-03T02:30:00,1042.449,-0.2724554247820379,-0.2564044658965031,-0.01605095888553476
2018-08-03T02:45:00,1042.680,-0.26784038428286294,-0.2586916495737751,-0.009148734709087836
2018-08-03T03:00:00,1042.577,-0.26892360436750096,-0.26073804053252025,-0.008185563834980703
2018-08-03T03:15:00,1042.334,-0.28497489560982103,-0.26558541154798043,-0.0193894840618406
2018-08-03T03:30:00,1042.246,-0.30098925577340196,-0.2726661803930647,-0.028323075380337237
2018-08-03T03:45:00,1042.041,-0.3255694173244592,-0.2832468277793436,-0.042322589545115585
2018-08-03T04:00:00,1041.862,-0.3546579133990235,-0.2975290449032796,-0.057128868495743945
2018-08-03T04:15:00,1041.708,-0.38508884191219295,-0.31504100430506227,-0.07004783760713068
2018-08-03T04:30:00,1041.670,-0.4075329099839564,-0.3335393854408411,-0.07399352454311531
2018-08-03T04:45:00,1041.488,-0.4342448132681511,-0.3536804710063031,-0.080564342261848
2018-08-03T05:00:00,1041.730,-0.4322117930760214,-0.3693867354202468,-0.06282505765577462
2018-08-03T05:15:00,1042.072,-0.4001009482781228,-0.375529577991822,-0.024571370286300798
2018-08-03T05:30:00,1041.886,-0.38430266088744247,-0.3772841945709461,-0.007018466316496386
2018-08-03T05:45:00,1042.119,-0.350082852491596,-0.37184392615507605,0.02176107366348007
2018-08-03T06:00:00,1041.848,-0.33956409604979854,-0.36538796013402053,0.025823864084221992
